pattern,prob_feature,occur_feature,log_occur_feature,prob_log_occur,constant,outsideSentence,new_outside,frequency,quote,dash,parenthesis,capital,avg_idf,stop_ratio,first_stop,last_stop
in this work we introduce a,26.5399174359,0.0216389769,12.2675846842,0.0004164870,1,0.3056775863,0.8957460228,14,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0088273158,0.8333333333,1,1
in this work we present a,27.7420739748,0.0295639452,16.6147508843,0.0007537758,1,0.3370965377,0.7868398496,25,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0089817489,0.8333333333,1,1
with the state of the art,12.3155487831,0.0184782631,11.7769894758,0.0005012149,1,0.4350747335,2.4625840487,22,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0160038836,0.6666666667,1,0
state of the art methods for,14.0171028774,0.0157259203,9.8790164980,0.0003353946,1,0.4403533561,2.1667712087,14,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0116199319,0.5000000000,0,1
state of the art on the,2.9764104851,0.0081250430,3.6175024884,0.0001088638,1,0.4635520857,2.7276429261,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0162070881,0.6666666667,0,1
state of the art performance on,58.1899593740,0.0663319209,31.4773841552,0.0022123437,1,0.3577900000,1.7172573411,60,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0117623721,0.5000000000,0,1
state of the art results in,10.1075470977,0.0171162936,11.0941125709,0.0004827639,1,0.3937207974,1.4901991530,23,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0123340299,0.5000000000,0,1
state of the art results on,52.5540786934,0.0645946293,31.4461516310,0.0022647284,1,0.3455954500,1.6134289044,63,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0117582591,0.5000000000,0,1
outperforms the state of the art,145.2778426111,0.0952935380,27.7199392707,0.0014003979,1,0.3764360385,2.2906724453,31,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0150397134,0.5000000000,0,0
a new state of the art,6.9643030850,0.0124284820,6.4368972430,0.0001937097,1,0.3237183183,0.9574484076,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0127812852,0.6666666667,1,0
of our knowledge this is the,23.3847051543,0.0223827442,12.9963677802,0.0004862110,1,0.5146774329,2.2436671207,17,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0129723579,0.8333333333,1,1
of the state of the art,1.0557284054,0.0050541676,0.1878615575,0.0000059048,1,0.5689441789,3.1832424778,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0177867534,0.6666666667,1,0
the previous state of the art,12.4231246132,0.0163140881,10.3884104599,0.0003886439,1,0.4067597022,2.0571939369,17,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0151017157,0.5000000000,1,0
the state of the art performance,2.6616737574,0.0068527415,3.6629147946,0.0001243567,1,0.3788670229,2.7283916083,14,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0155424682,0.5000000000,1,0
the state of the art methods,3.9412424417,0.0086314772,5.3117812222,0.0001866655,1,0.4762949932,2.8027987301,15,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0155916969,0.5000000000,1,0
the state of the art for,3.9207839191,0.0073723462,4.5314766351,0.0001363686,1,0.4492269355,1.9051831361,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0160154192,0.6666666667,1,1
the state of the art results,2.9435293201,0.0081713414,4.5803943865,0.0001763265,1,0.3629858449,2.2053567045,18,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0155383553,0.5000000000,1,0
the state of the art on,10.9746263379,0.0178353531,11.4888264323,0.0004999400,1,0.4342059400,2.7257982286,23,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0162070881,0.6666666667,1,1
the current state of the art,13.7258051992,0.0216109431,13.6101659187,0.0006416876,1,0.3525872971,2.0821556537,27,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0150135800,0.5000000000,1,0
to the best of our knowledge,46.8117927180,0.0460841742,23.0768109140,0.0012563348,1,0.4493901671,2.2787503633,36,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0128229554,0.8333333333,1,0
we consider the problem of learning,32.9597760351,0.0203805100,11.0530708735,0.0003171475,1,0.4127306310,1.3943681724,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0126516202,0.6666666667,1,0
we achieve state of the art,15.0757969132,0.0144563750,8.9983035572,0.0002707917,1,0.3583901316,1.9170285639,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0119458786,0.5000000000,1,0
we demonstrate the effectiveness of our,29.5190429070,0.0192874165,10.7044223852,0.0003071437,1,0.4250452566,1.6197074703,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0122257120,0.6666666667,1,1
recurrent neural networks recurrent neural networks,86.0965186387,0.0503875969,16.0644218517,0.0005255513,1,0.0000000000,0.0000000000,13,0,0,0,0,0.0051876618,0.0000000000,0,0
consider the problem of learning,34.3331000366,0.0203805100,11.1821613549,0.0002673763,1,0.4142508552,1.5908398622,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0126771387,0.6000000000,1,0
effectiveness of the proposed method,131.7883051658,0.0399297853,15.4356998689,0.0003690825,1,0.4143577384,2.3524426883,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0120648771,0.4000000000,0,0
achieved state of the art,67.7032636465,0.0414737197,19.3161723893,0.0006693108,1,0.2625837478,1.4330290385,21,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0117044944,0.4000000000,0,0
experimental results demonstrate that the,9.4293165945,0.0117000918,7.7728330351,0.0002035950,1,0.2469095845,2.5573904664,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0102618035,0.4000000000,0,1
outperform state of the art,39.0531834976,0.0217363571,11.5895085455,0.0002771163,1,0.3131290548,1.7465010807,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0116704359,0.4000000000,0,0
outperform the state of the,22.4852934176,0.0180675157,10.7832684446,0.0002824478,1,0.3822057492,2.8525438000,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0172205649,0.6000000000,0,1
alternating direction method of multipliers,16207.3774509804,0.5423261445,37.5416866636,0.0010994020,1,0.1954621566,1.5488379428,15,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0049118325,0.2000000000,0,0
markov chain monte carlo mcmc,3673.6722222222,0.2211083194,27.2259972764,0.0006827744,1,0.2403280944,0.1776146080,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0006349996,0.0000000000,0,0
be trained end to end,91.2184792805,0.0363907139,15.6343825961,0.0004095137,1,0.2647590140,0.9718557966,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0062261131,0.4000000000,1,0
best of our knowledge this,79.6630894669,0.0439037998,19.5781452273,0.0006620391,1,0.3693766628,1.1947026089,20,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0075533183,0.8000000000,1,1
competitive with state of the,24.3590678690,0.0195731420,11.5121797289,0.0003138530,1,0.2881381799,1.4960354536,13,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0124566144,0.6000000000,0,1
paper we present a new,52.5671417306,0.0308859774,12.5292326241,0.0002995860,1,0.2949576229,0.7724801097,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0078640862,0.6000000000,0,1
paper we propose a novel,133.6970665437,0.0960189397,36.9607923670,0.0021099676,1,0.2827136951,0.7171184512,57,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0078215900,0.6000000000,0,1
due to the lack of,36.6943198970,0.0210696810,11.3924909797,0.0002724054,1,0.3983217748,2.3891935622,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0134643619,0.8000000000,1,1
than state of the art,16.7516570018,0.0211153734,13.2199235867,0.0004688537,1,0.2442028193,1.1027166207,22,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0121380769,0.6000000000,1,0
than the state of the,24.3590678690,0.0217144515,12.7716167092,0.0003862807,1,0.4364890384,2.7966740473,16,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0176882059,0.8000000000,1,1
achieve state of the art,103.7344218870,0.0838328050,34.7363049287,0.0019655076,1,0.2912862769,1.7589224507,56,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0118302488,0.4000000000,0,0
it is well known that,106.9863124515,0.0377327963,15.4975956603,0.0003886492,1,0.2106412168,0.3473992672,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0061764473,1.0000000000,1,1
knowledge this is the first,913.9498562583,0.1662607470,34.0888785404,0.0012887830,1,0.2896250590,1.9558212305,25,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0110587834,0.8000000000,0,1
knowledge in the form of,36.6943198970,0.0220980678,11.9485453422,0.0002996460,1,0.5954277565,2.4638769375,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0132012811,0.6000000000,0,1
deep convolutional neural networks cnn,83.8891172411,0.0318574750,14.0072959114,0.0003349280,1,0.4012978195,0.5925750111,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0049600495,0.0000000000,0,0
deep convolutional neural networks cnns,65.8206919892,0.0345609276,16.2159266483,0.0004748807,1,0.4682445907,0.5991713616,15,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0048094233,0.0000000000,0,0
learning in this paper we,2.2211551897,0.0065570422,3.1921096651,0.0000965461,1,0.0000000000,0.0000000000,16,0,0,0,0,0.0089406360,0.6000000000,0,1
long short term memory lstm,1168.4891620199,0.2762916519,51.9056690044,0.0028840897,1,0.2819347875,0.3439864719,54,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0018978633,0.0000000000,0,0
long short term memory networks,34.9815242433,0.0260218335,14.2192801734,0.0004300656,1,0.2938902489,0.4519169145,16,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0027964107,0.0000000000,0,0
demonstrate the effectiveness of our,91.7398723640,0.0537185496,23.0422504232,0.0008884002,1,0.3676662551,1.5392308821,26,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0121660490,0.6000000000,0,1
demonstrate the efficacy of our,138.9097662516,0.0429953285,16.3636448426,0.0004103680,1,0.3693808911,2.4728539185,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0120135457,0.6000000000,0,1
achieving state of the art,103.5611758073,0.0487903379,20.2259994570,0.0006666285,1,0.2717779153,1.9036791088,19,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0116216548,0.4000000000,0,0
over the state of the,24.3590678690,0.0210249272,12.3660647047,0.0003621381,1,0.5031923235,2.8107430213,15,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0177028052,0.8000000000,1,1
is one of the most,43.4787066661,0.0299034508,15.5534730857,0.0004848964,1,0.4094027056,1.8503753941,17,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0131406399,1.0000000000,1,1
is available at https github,57.6062416052,0.0276878767,13.4443728103,0.0003371584,1,0.0616085347,0.1829781082,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0032660136,0.6000000000,1,0
achieves state of the art,130.2594955537,0.0878741778,34.0867000635,0.0018041810,1,0.2895245724,1.5151342557,49,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0117450589,0.4000000000,0,0
that it is possible to,50.1167919724,0.0373434199,18.7725924788,0.0006807463,1,0.3536417745,0.9681328294,23,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0086575162,1.0000000000,1,1
work we propose a novel,68.2744699890,0.0351992441,16.3576842200,0.0004790320,1,0.2734266225,0.8724164482,15,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0076150753,0.8000000000,1,1
this paper presents a new,81.9639122518,0.0404493783,14.6139743500,0.0003664897,1,0.2988371998,0.7546944301,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0064876311,0.6000000000,1,1
this paper we develop a,24.7266311515,0.0189466153,11.1124252235,0.0002910694,1,0.2263385361,0.6262447813,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0082364495,0.6000000000,1,1
this paper we present a,27.5916460623,0.0532668245,30.5859590337,0.0021322035,1,0.3120120092,0.7696739744,85,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0085626721,0.6000000000,1,1
this paper we present an,33.4904519583,0.0291694802,16.0906164854,0.0005575444,1,0.1633726160,0.2274255471,21,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0068607671,0.6000000000,1,1
this paper we consider the,10.0302044167,0.0130339920,8.6267689463,0.0002440671,1,0.3631431507,1.5495929806,14,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0114514491,0.8000000000,1,1
this paper we propose a,31.5951398047,0.0878707563,49.0763978780,0.0052740648,1,0.3281332613,0.7636717803,202,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0087584735,0.6000000000,1,1
this paper we show that,6.6862499976,0.0143621657,7.8341199493,0.0002442372,1,0.4480526272,0.6160067244,17,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0079871414,0.8000000000,1,1
this work we propose a,31.5951398047,0.0478899413,26.7468485902,0.0015665539,1,0.3203633202,0.7334809373,60,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0085519587,0.8000000000,1,1
this work we present a,28.8979937238,0.0295639452,16.8188608569,0.0006358632,1,0.2733223005,0.7018705662,25,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0083561573,0.8000000000,1,1
existing state of the art,26.9745053818,0.0273967598,15.8017477578,0.0005730152,1,0.3241988382,2.2092786306,23,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0119706341,0.4000000000,0,0
have been shown to be,144.1840478949,0.0494175447,18.6001178409,0.0005262315,1,0.2517433175,1.0156837848,14,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0061073861,0.8000000000,1,1
recent state of the art,15.7541575773,0.0144794636,9.1442804829,0.0002293206,1,0.4249628573,2.4228028578,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0118998304,0.4000000000,0,0
networks recurrent neural networks rnns,42.6516535344,0.0227157183,11.8682369050,0.0002837810,1,0.6878154546,0.3830543962,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0046391856,0.0000000000,0,0
networks in this paper we,4.1053268096,0.0089144058,5.6491414092,0.0001708597,1,0.6076767654,0.4287287076,16,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0086171286,0.6000000000,0,1
neural networks recurrent neural networks,19.0382702454,0.0235113682,11.7858047071,0.0003564645,1,0.3992075076,0.4501217969,16,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0056538877,0.0000000000,0,0
neural networks in this paper,3.2230142541,0.0083777212,4.0540970981,0.0001061896,1,0.7428787648,0.6724203595,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0073811447,0.4000000000,0,0
convolutional neural network cnn to,8.7924196443,0.0103136584,6.8744436125,0.0001643746,1,0.2979821588,0.9962345726,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0068712769,0.2000000000,0,1
both synthetic and real world,354.2216627384,0.0717111555,20.3340093401,0.0005326117,1,0.2398364725,1.1404169440,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0047935179,0.4000000000,1,0
show that the proposed method,56.0417108839,0.0483641744,19.3084793150,0.0007001790,1,0.3819446354,1.7597184826,23,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0112658366,0.6000000000,1,0
other state of the art,31.9226865107,0.0340383800,18.9693680794,0.0007856165,1,0.3260877313,2.1258643053,30,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0120000608,0.6000000000,1,0
in such a way that,65.4610160767,0.0281416728,13.2229210727,0.0003161728,1,0.3894875108,1.1377031978,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0088093883,1.0000000000,1,1
in particular we show that,41.7173049019,0.0301406708,12.9242722399,0.0003385274,1,0.4257936711,1.0083400657,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0083293048,1.0000000000,1,1
in an end to end,15.4025920180,0.0172669422,10.9381432325,0.0003308268,1,0.3825742623,1.3651801419,16,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0081820865,0.6000000000,1,0
in the form of a,15.0794985431,0.0195731911,12.4340681050,0.0004308439,1,0.5919893142,2.9923128693,21,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0156337665,0.8000000000,1,1
in this paper we use,8.7183310656,0.0102701129,6.8476840453,0.0001637347,1,0.3611811395,0.6304703889,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0080077272,0.8000000000,1,1
in this paper we provide,17.6511879941,0.0153264598,9.5213766951,0.0002387774,1,0.3437587555,0.7215605162,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0077861632,0.6000000000,1,0
in this paper we develop,57.7526664419,0.0490969040,19.4527056503,0.0007054091,1,0.2408180678,0.4329673518,23,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0076443613,0.6000000000,1,0
in this paper we describe,50.9546325341,0.0346711049,14.1731901500,0.0003863993,1,0.2116701054,0.3804069808,13,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0075666303,0.8000000000,1,1
in this paper we present,65.4610160767,0.1075291809,50.5247104768,0.0046161228,1,0.2800070209,0.5271183742,146,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0079705838,0.6000000000,1,0
in this paper we extend,65.4610160767,0.0332976763,15.6455712064,0.0004426419,1,0.3341987891,0.8119937104,14,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0075340565,0.6000000000,1,0
in this paper we explore,65.4610160767,0.0511218874,24.0206290009,0.0010433702,1,0.3350088298,0.6700601243,33,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0075773648,0.6000000000,1,0
in this paper we propose,65.4610160767,0.1549070645,72.7861452709,0.0095800357,1,0.2889437655,0.5212449562,303,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0081663852,0.6000000000,1,0
in this paper we introduce,62.6855953979,0.0790987082,30.6892059252,0.0017209335,1,0.2855791547,0.5336579517,55,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0077852641,0.6000000000,1,0
in this paper we focus,48.7326277228,0.0254662382,12.8895607062,0.0003232448,1,0.3786870023,1.0357480302,11,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0075577005,0.6000000000,1,0
in this paper we show,14.1840196815,0.0241544782,15.4643605610,0.0006818181,1,0.4221770747,0.7438025260,34,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0083077643,0.8000000000,1,1
in this work we study,65.4610160767,0.0308276580,14.4849842953,0.0003794074,1,0.3248019251,0.6714023526,12,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0075451976,0.8000000000,1,0
in this work we propose,65.4610160767,0.0844250185,39.6687632182,0.0028455552,1,0.2547120721,0.4417254206,90,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0079598705,0.8000000000,1,0
in this work we show,12.8576756276,0.0124721054,8.0762704372,0.0001931114,1,0.3899420691,0.6038606411,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0081012495,1.0000000000,1,1
in this work we present,65.4610160767,0.0569825445,26.7743745203,0.0012963085,1,0.2748929132,0.5558902852,41,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0077640691,0.8000000000,1,0
in a wide range of,11.9858198450,0.0137297961,8.9551952149,0.0002441427,1,0.3739977932,1.5214859099,13,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0095582695,0.6000000000,1,1
with a large number of,26.5055715889,0.0179071770,10.3639063730,0.0002478110,1,0.4014277226,1.1208766340,10,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0095052514,0.6000000000,1,1
with the state of the,12.2411227567,0.0180501371,11.7485580920,0.0004166707,1,0.5238059137,2.5545641980,22,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0184876575,0.8000000000,1,1
state of the art techniques,26.5835705212,0.0226842898,13.1211735015,0.0003968531,1,0.3457953845,1.9843325784,16,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0118705980,0.4000000000,0,0
state of the art in,2.7600428410,0.0123935398,6.8857347541,0.0003531232,1,0.4492080780,2.4334408635,46,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0138722988,0.6000000000,0,1
state of the art deep,4.9672199576,0.0106854308,6.9867061509,0.0002302748,1,0.4743053114,2.1755123465,19,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0127192225,0.4000000000,0,0
state of the art approaches,29.3412023180,0.0315265543,17.8799490003,0.0007153892,1,0.3261994218,2.3787595132,28,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0120253266,0.4000000000,0,0
state of the art accuracy,15.2479347895,0.0171800350,10.8977762810,0.0003296059,1,0.2787841538,1.3252857543,16,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0120809238,0.4000000000,0,0
state of the art performance,57.3822084125,0.0924059048,44.9137260656,0.0037664199,1,0.3351725810,1.7486506228,123,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0123838301,0.4000000000,0,0
state of the art models,9.0087010684,0.0180821578,12.0399873927,0.0004986361,1,0.3488736652,2.0850974045,30,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0127468068,0.4000000000,0,0
current state of the art,121.0106283099,0.0820633445,32.5272297254,0.0016681039,1,0.3084980040,2.3340748815,46,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0117491642,0.4000000000,0,0
outperforms state of the art,63.6849885094,0.0472689630,22.3696992956,0.0009108697,1,0.2529558319,1.6324699353,29,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0117805242,0.4000000000,0,0
